CIL number,page,Inscription
2400,82,Satur noli cunnum lingere extra porta set intra porta. rogat te Arpogra ut sibi lingas mentula. At fellator quid ...
2217,83,fututa sum hic
2260,83,"Victor, valeas, qui bene futues"
8715b,84,Iucundus male chalat
1261,84,futuebatur inquam futuebatur civium romanorum attractis pedibus cunnus / in qua re nullae aliae vices erant nisissei dulcissimae et piissimae
2450,85,"ante diem XI kalendas Decembres Epapra, Acutus, Auctus ad locum duxserunt mulierem Tychen; pretium in ingulos asses V fuit. Marco Messalla, Lucio Lentulo consulibus / asses XV"
8171,85,"Nicopolis, futui te ego et Proculus et Fructus Holconi"
5187,86,Messius his nihil futuit
2246,86,hic ego cum veni futui deine redei domi
10085b,87,Phallus durus Crescentis: vastus
1938,88,"mentula tua iubet, amatur"
1405,88,"Pusina, multi te amant; te Anicetus mentula"
1940,90,Arescusa prusenter sumpsit sibi casta mutunium
950,90,"ubi me iuvat, asido"
7089,91,imanis mentula es
8879b,92,"eiacula, puber"
1939,93,"Pumpeis fuere quondam Vibii opulentissimi; non ideo tenuerunt in manu sceptrum pro mutunio, itidem quod tu faciatis cottidie in amnu penem tenes"
2066,94,"Moles multa mihi curae cum [pr]esserit artus, has ego mancinas, stagna refusa, dabo. "
5174,95,tu qui die digitos contrudis manus ...
8473,98,... matrenia culibonia
3951,98,"Restutus dicit: Restetuta pone tunica; rogo, redes pilosa cunnum"
7679,99,Marcellus Praenestinam amat et non curatur
3042,99,"crudelis, Lalage, quae non amas ..."
1645,111,si quis forte meam cupiet violare puellam / illum in desertis montibus urat Amor
10233,116,Hygino salutem Edone Piladi fellat
1516,119,"hic ego nunc futue formosam forma puellam / laudatam a multis, sed lutus intus erat"
1882,122,"accensum qui pedicat, urit mentulam"
2210,131,paedicare volo
2048,132,Secundus paedicavit pueros lugentes
3932,134,"hic Rufum carum ... dolete, puellae, paedico. cunne superbe vale"
8805,135,VII idus Septembres Quintus Postumius rogavit Aulum Attium paedicarem
2319b,137,"Vesbinus cinaedus, Vitalio paedicavit"
4917,137,Albanus cinaedus est
10232a,138,Lucius Habonius sauciat irrumat Caesonium Felicem
8841,138,"Martialis, fellas Proculum"
8512,139,"Ianuari, lingis mentula"
4246,139,qui me non mentula linget ...
1825,140,Cosmus Equitiaes magnus sinaedus et fellator est suris apertis
1825a,140,Narcissus fellator maximus
9027,140,Secundus fellator rarus
5408,146,Felix fellat assibus I
5048,147,Euplia fellat assibus V nummum
10004,147,Euplia laxa landicosa
3999,148,Glyco cunnum lingit assibus II
8940,148,"Maritimus cunnum linget assibus II, virgines ammittit"
5372,149,sum tua aere
2193,150,Arphocras hic cum Drauca bene futuit denario
1751,150,siquis his sederit legat hoc ante omnia: si quis futuere volet Atticen quaerat assibus XVI
10194a,151,"Marcus Pollius Pudes futuit cratis, si amabit Gemellam"
